# shape:
# 81 61
# lat  lon  height  topo  gravity  disturbance  topo_effect  bouguer  sediment_effect  moho_anomaly
-6.000000000000000000e+01 2.980000000000000000e+02 1.000000000000000000e+04 -4.056000000000000000e+03 9.788597633215690730e+05 1.932770322030410171e+01 -2.880852103296223845e+02 3.074129135499264862e+02 -7.816024002199657872e+00 3.152289375521261263e+02
-6.000000000000000000e+01 2.990000000000000000e+02 1.000000000000000000e+04 -4.092000000000000000e+03 9.788666453268172918e+05 2.620970846852287650e+01 -2.905620221897660258e+02 3.167717306582889023e+02 -8.558692546859983707e+00 3.253304232051488611e+02
-6.000000000000000000e+01 3.000000000000000000e+02 1.000000000000000000e+04 -4.095000000000000000e+03 9.788966121726474958e+05 5.617655429872684181e+01 -2.877612505081174845e+02 3.439378048068443263e+02 -1.028678173913240457e+01 3.542245865459767060e+02
-6.000000000000000000e+01 3.010000000000000000e+02 1.000000000000000000e+04 -3.401000000000000000e+03 9.789081982914826367e+05 6.776267313386779279e+01 -2.570932802245945936e+02 3.248559533584623864e+02 -1.281618839103357210e+01 3.376721417494959496e+02
-6.000000000000000000e+01 3.020000000000000000e+02 1.000000000000000000e+04 -3.684000000000000000e+03 9.788953389194286428e+05 5.490330107987392694e+01 -2.661072144185504840e+02 3.210105154984244109e+02 -1.498872250080861690e+01 3.359992379992330029e+02
-6.000000000000000000e+01 3.030000000000000000e+02 1.000000000000000000e+04 -3.524000000000000000e+03 9.788766068953308277e+05 3.617127698205877095e+01 -2.595063528416527561e+02 2.956776298237115270e+02 -1.658458438108430144e+01 3.122622142047958391e+02
-6.000000000000000000e+01 3.040000000000000000e+02 1.000000000000000000e+04 -3.461000000000000000e+03 9.788644807371590286e+05 2.404511881025973707e+01 -2.560901095104384240e+02 2.801352283206981610e+02 -1.704238338236242001e+01 2.971776117030605633e+02
-6.000000000000000000e+01 3.050000000000000000e+02 1.000000000000000000e+04 -3.516000000000000000e+03 9.788593537744996138e+05 1.891815615084487945e+01 -2.562130773874732768e+02 2.751312335383181562e+02 -1.711530699356085705e+01 2.922465405318790204e+02
-6.000000000000000000e+01 3.060000000000000000e+02 1.000000000000000000e+04 -3.023000000000000000e+03 9.788660774419854861e+05 2.564182363671716303e+01 -2.352340666807553760e+02 2.608758903174725674e+02 -1.781408592424956083e+01 2.786899762417221496e+02
-6.000000000000000000e+01 3.070000000000000000e+02 1.000000000000000000e+04 -3.454000000000000000e+03 9.788821199173480272e+05 4.168429899925831705e+01 -2.519747182129238467e+02 2.936590172121821638e+02 -1.834125110448217555e+01 3.120002683166643465e+02
-6.000000000000000000e+01 3.080000000000000000e+02 1.000000000000000000e+04 -3.276000000000000000e+03 9.788761530281472951e+05 3.571740979852620512e+01 -2.459543088128938280e+02 2.816717186114200331e+02 -1.884089165173924130e+01 3.005126102631592744e+02
-6.000000000000000000e+01 3.090000000000000000e+02 1.000000000000000000e+04 -3.518000000000000000e+03 9.788553446821360849e+05 1.490906378731597215e+01 -2.552971168779175741e+02 2.702061806652335463e+02 -1.940038283168633271e+01 2.896065634969198754e+02
-6.000000000000000000e+01 3.100000000000000000e+02 1.000000000000000000e+04 -3.275000000000000000e+03 9.788510344180114334e+05 1.059879966266453266e+01 -2.485829997561083644e+02 2.591817994187729255e+02 -1.893453547704478979e+01 2.781163348958177153e+02
-6.000000000000000000e+01 3.110000000000000000e+02 1.000000000000000000e+04 -3.916000000000000000e+03 9.788441817503977800e+05 3.746132049011066556e+00 -2.765598510637191225e+02 2.803059831127301891e+02 -1.883051566622562234e+01 2.991364987789557972e+02
-6.000000000000000000e+01 3.120000000000000000e+02 1.000000000000000000e+04 -3.813000000000000000e+03 9.788311461707976414e+05 -9.289447551127523184e+00 -2.710638771187860243e+02 2.617744295676585011e+02 -1.925964474529355641e+01 2.810340743129520433e+02
-6.000000000000000000e+01 3.130000000000000000e+02 1.000000000000000000e+04 -2.910000000000000000e+03 9.788297783850779524e+05 -1.065723327081650496e+01 -2.366033474932831950e+02 2.259461142224666901e+02 -1.914274402714249135e+01 2.450888582496091885e+02
-6.000000000000000000e+01 3.140000000000000000e+02 1.000000000000000000e+04 -4.729000000000000000e+03 9.788115624558688141e+05 -2.887316247995477170e+01 -3.167544308732821605e+02 2.878812683933273888e+02 -1.922463061742716306e+01 3.071058990107545696e+02
-6.000000000000000000e+01 3.150000000000000000e+02 1.000000000000000000e+04 -5.298000000000000000e+03 9.787791356178016867e+05 -6.130000054708216339e+01 -3.454365066367947747e+02 2.841365060897126114e+02 -1.921883624014560610e+01 3.033553423298582175e+02
-6.000000000000000000e+01 3.160000000000000000e+02 1.000000000000000000e+04 -4.758000000000000000e+03 9.787838131917536957e+05 -5.662242659507319331e+01 -3.187854883511549247e+02 2.621630617560817313e+02 -1.896686693709545679e+01 2.811299286931771917e+02
-6.000000000000000000e+01 3.170000000000000000e+02 1.000000000000000000e+04 -3.343000000000000000e+03 9.788191931648344034e+05 -2.124245351436547935e+01 -2.533081143654405025e+02 2.320656608510750232e+02 -1.837447062050110702e+01 2.504401314715761373e+02
-6.000000000000000000e+01 3.180000000000000000e+02 1.000000000000000000e+04 -3.442000000000000000e+03 9.788496441926477710e+05 9.208574299002066255e+00 -2.460952884243719154e+02 2.553038627233739817e+02 -1.712260549429048595e+01 2.724264682176644783e+02
-6.000000000000000000e+01 3.190000000000000000e+02 1.000000000000000000e+04 -2.501000000000000000e+03 9.788729077885665465e+05 3.247217021777760237e+01 -1.964939688988181956e+02 2.289661391165957980e+02 -1.681287472060491339e+01 2.457790138372007220e+02
-6.000000000000000000e+01 3.200000000000000000e+02 1.000000000000000000e+04 -1.542000000000000000e+03 9.788824130693123443e+05 4.197745096357539296e+01 -1.450417138049172650e+02 1.870191647684926579e+02 -1.719357002147805602e+01 2.042127347899707104e+02
-6.000000000000000000e+01 3.210000000000000000e+02 1.000000000000000000e+04 -1.575000000000000000e+03 9.788695201565494062e+05 2.908453820063732564e+01 -1.470609955259057529e+02 1.761455337265430785e+02 -1.749143967878018557e+01 1.936369734053232605e+02
-6.000000000000000000e+01 3.220000000000000000e+02 1.000000000000000000e+04 -2.933000000000000000e+03 9.788548734073522501e+05 1.443778900348115712e+01 -2.100436175998460158e+02 2.244814066033271729e+02 -1.834365787152569283e+01 2.428250644748528657e+02
-6.000000000000000000e+01 3.230000000000000000e+02 1.000000000000000000e+04 -2.800000000000000000e+03 9.788607408359444235e+05 2.030521759565453976e+01 -2.047855996795568103e+02 2.250908172752113501e+02 -1.768185970353089687e+01 2.427726769787422541e+02
-6.000000000000000000e+01 3.240000000000000000e+02 1.000000000000000000e+04 -1.995000000000000000e+03 9.788773075696408050e+05 3.687195129203610122e+01 -1.624489845359261437e+02 1.993209358279622450e+02 -1.440539146011204075e+01 2.137263272880742875e+02
-6.000000000000000000e+01 3.250000000000000000e+02 1.000000000000000000e+04 -1.278000000000000000e+03 9.788797105110015254e+05 3.927489265275653452e+01 -1.241464257952949453e+02 1.634213184480514656e+02 -1.082572064193384698e+01 1.742470390899853214e+02
-6.000000000000000000e+01 3.260000000000000000e+02 1.000000000000000000e+04 -1.448000000000000000e+03 9.788724447688723449e+05 3.200915052357595414e+01 -1.267073658995948904e+02 1.587165164231708445e+02 -8.961602661329749253e+00 1.676781190845005938e+02
-6.000000000000000000e+01 3.270000000000000000e+02 1.000000000000000000e+04 -8.790000000000000000e+02 9.788795638808787335e+05 3.912826252996455878e+01 -9.885516777333232596e+01 1.379834303032968705e+02 -8.164684102474350169e+00 1.461481144057712243e+02
-6.000000000000000000e+01 3.280000000000000000e+02 1.000000000000000000e+04 -9.240000000000000000e+02 9.788885793459945126e+05 4.814372764574363828e+01 -1.049445000565022212e+02 1.530882277022458595e+02 -9.172183434175396499e+00 1.622604111364212542e+02
-6.000000000000000000e+01 3.290000000000000000e+02 1.000000000000000000e+04 -2.742000000000000000e+03 9.788810119822366396e+05 4.057636388787068427e+01 -1.891452479698488958e+02 2.297216118577195800e+02 -8.775506133956568533e+00 2.384971179916761344e+02
-6.000000000000000000e+01 3.300000000000000000e+02 1.000000000000000000e+04 -2.480000000000000000e+03 9.788839011211383622e+05 4.346550278959330171e+01 -1.713087941330849162e+02 2.147742969226782179e+02 -5.904128455638540274e+00 2.206784253783167458e+02
-5.900000000000000000e+01 2.700000000000000000e+02 1.000000000000000000e+04 -5.034000000000000000e+03 9.787515045816091588e+05 -9.534617349156178534e+00 -3.229512488497535969e+02 3.134166315005974184e+02 -5.710938386244553300e+00 3.191275698868419681e+02
-5.900000000000000000e+01 2.710000000000000000e+02 1.000000000000000000e+04 -5.061000000000000000e+03 9.787545397075178334e+05 -6.499491440481506288e+00 -3.540768776128223863e+02 3.475773861723408800e+02 -7.628949067057774869e+00 3.552063352393986406e+02
-5.900000000000000000e+01 2.720000000000000000e+02 1.000000000000000000e+04 -5.051000000000000000e+03 9.787529191514048725e+05 -8.120047553442418575e+00 -3.620833745376904176e+02 3.539633269842479990e+02 -8.207163314019854994e+00 3.621704902982678504e+02
-5.900000000000000000e+01 2.730000000000000000e+02 1.000000000000000000e+04 -5.334000000000000000e+03 9.787523291326973122e+05 -8.710066261002793908e+00 -3.753495853202322223e+02 3.666395190592294284e+02 -8.548392008106382889e+00 3.751879110673357900e+02
-5.900000000000000000e+01 2.740000000000000000e+02 1.000000000000000000e+04 -4.789000000000000000e+03 9.787607918797458988e+05 -2.473192124161869287e-01 -3.556866098526187443e+02 3.554392906402025574e+02 -8.623389224380341389e+00 3.640626798645828899e+02
-5.900000000000000000e+01 2.750000000000000000e+02 1.000000000000000000e+04 -5.095000000000000000e+03 9.787622252263689879e+05 1.186027410672977567e+00 -3.677273810335165649e+02 3.689134084441895425e+02 -9.085649921050052313e+00 3.779990583652395912e+02
-5.900000000000000000e+01 2.760000000000000000e+02 1.000000000000000000e+04 -5.091000000000000000e+03 9.787531718816941138e+05 -7.867317264201119542e+00 -3.695371871350827178e+02 3.616698698708815982e+02 -9.736563718072849483e+00 3.714064335889544282e+02
-5.900000000000000000e+01 2.770000000000000000e+02 1.000000000000000000e+04 -5.139000000000000000e+03 9.787475758017045446e+05 -1.346339725377038121e+01 -3.716863865711239328e+02 3.582229893173535515e+02 -1.005158370312707383e+01 3.682745730204806023e+02
-5.900000000000000000e+01 2.780000000000000000e+02 1.000000000000000000e+04 -5.101000000000000000e+03 9.787566291812366107e+05 -4.410017721704207361e+00 -3.678213501497804714e+02 3.634113324280762640e+02 -1.010831402002680512e+01 3.735196464481030603e+02
-5.900000000000000000e+01 2.790000000000000000e+02 1.000000000000000000e+04 -4.550000000000000000e+03 9.787607592214605538e+05 -2.799774977611377835e-01 -3.447146835212818132e+02 3.444347060235206754e+02 -9.572233859839045067e+00 3.540069398833597347e+02
-5.900000000000000000e+01 2.800000000000000000e+02 1.000000000000000000e+04 -4.946000000000000000e+03 9.787556287069964455e+05 -5.410491961869411170e+00 -3.582200540059114360e+02 3.528095620440420248e+02 -9.454199574612156098e+00 3.622637616186542004e+02
-5.900000000000000000e+01 2.810000000000000000e+02 1.000000000000000000e+04 -4.633000000000000000e+03 9.787584251366739627e+05 -2.614062284352257848e+00 -3.465376366278582054e+02 3.439235743435059476e+02 -1.022124126108758801e+01 3.541448156045935320e+02
-5.900000000000000000e+01 2.820000000000000000e+02 1.000000000000000000e+04 -4.811000000000000000e+03 9.787535782934472663e+05 -7.460905511048622429e+00 -3.531712890294580234e+02 3.457103835184094009e+02 -1.073714002511810328e+01 3.564475235435274953e+02
-5.900000000000000000e+01 2.830000000000000000e+02 1.000000000000000000e+04 -4.908000000000000000e+03 9.787538790908603696e+05 -7.160108097945339978e+00 -3.577753324456978135e+02 3.506152243477524735e+02 -1.156392507528302005e+01 3.621791494230354829e+02
