# Generated by process-sam-gravity-data.ipynb on 17 January 2016 19:29:28 UTC
# shape (nlat, nlon):
# 41 31
# lat lon height sediment_free_bouguer
-56.00000 314.00000 50000.00000 323.55299
-56.00000 316.00000 50000.00000 307.19028
-56.00000 318.00000 50000.00000 292.98289
-56.00000 320.00000 50000.00000 272.60790
-56.00000 322.00000 50000.00000 269.55811
-56.00000 324.00000 50000.00000 267.88121
-56.00000 326.00000 50000.00000 273.62852
-56.00000 328.00000 50000.00000 290.52722
-56.00000 330.00000 50000.00000 227.14737
-54.00000 270.00000 50000.00000 253.39075
-54.00000 272.00000 50000.00000 333.82289
-54.00000 274.00000 50000.00000 343.85512
-54.00000 276.00000 50000.00000 344.73965
-54.00000 278.00000 50000.00000 342.80589
-54.00000 280.00000 50000.00000 327.71956
-54.00000 282.00000 50000.00000 319.33962
-54.00000 284.00000 50000.00000 269.58170
-54.00000 286.00000 50000.00000 170.70807
-54.00000 288.00000 50000.00000 112.56393
-54.00000 290.00000 50000.00000 93.04791
-54.00000 292.00000 50000.00000 108.25152
-54.00000 294.00000 50000.00000 123.95552
-54.00000 296.00000 50000.00000 146.98761
-54.00000 298.00000 50000.00000 179.84349
-54.00000 300.00000 50000.00000 171.42175
-54.00000 302.00000 50000.00000 190.69128
-54.00000 304.00000 50000.00000 215.39193
-54.00000 306.00000 50000.00000 233.33705
-54.00000 308.00000 50000.00000 256.03810
-54.00000 310.00000 50000.00000 326.78860
-54.00000 312.00000 50000.00000 333.92248
-54.00000 314.00000 50000.00000 336.63734
-54.00000 316.00000 50000.00000 306.92706
-54.00000 318.00000 50000.00000 309.56306
-54.00000 320.00000 50000.00000 265.96333
-54.00000 322.00000 50000.00000 202.56927
-54.00000 324.00000 50000.00000 191.50287
-54.00000 326.00000 50000.00000 229.23463
-54.00000 328.00000 50000.00000 279.78634
-54.00000 330.00000 50000.00000 245.28092
-52.00000 270.00000 50000.00000 249.96846
-52.00000 272.00000 50000.00000 328.77647
-52.00000 274.00000 50000.00000 340.86753
-52.00000 276.00000 50000.00000 337.58039
-52.00000 278.00000 50000.00000 328.77391
-52.00000 280.00000 50000.00000 318.61247
-52.00000 282.00000 50000.00000 297.20671
-52.00000 284.00000 50000.00000 191.76101
-52.00000 286.00000 50000.00000 90.77630
-52.00000 288.00000 50000.00000 89.18730
-52.00000 290.00000 50000.00000 76.13978
-52.00000 292.00000 50000.00000 86.18957
-52.00000 294.00000 50000.00000 104.12399
-52.00000 296.00000 50000.00000 122.02469
-52.00000 298.00000 50000.00000 119.90330
-52.00000 300.00000 50000.00000 99.31078
-52.00000 302.00000 50000.00000 131.87793
-52.00000 304.00000 50000.00000 224.94169
