# Generated by process-sam-gravity-data.ipynb on 17 January 2016 20:04:32 UTC
# shape (nlat, nlon):
# 81 61
# lat lon height topo gravity disturbance topo_effect bouguer upper_sediment middle_sediment lower_sediment total_sediment sedfree_bouguer
-59.00000 281.00000 50000.00000 -4633.00000 966591.17748 -3.75165 -317.54742 313.79577 -8.55897 -1.03591 -0.02653 -9.62142 323.41718
-59.00000 282.00000 50000.00000 -4811.00000 966590.65364 -4.27549 -317.60768 313.33219 -9.01276 -1.06073 -0.02698 -10.10046 323.43266
-59.00000 283.00000 50000.00000 -4908.00000 966591.94880 -2.98033 -317.69972 314.71939 -9.56107 -1.08740 -0.02745 -10.67592 325.39531
-59.00000 284.00000 50000.00000 -5021.00000 966595.39422 0.46509 -314.84702 315.31211 -10.01195 -1.11600 -0.02794 -11.15589 326.46800
-59.00000 285.00000 50000.00000 -4570.00000 966595.81303 0.88390 -305.37223 306.25613 -10.11869 -1.14655 -0.02843 -11.29368 317.54981
-59.00000 286.00000 50000.00000 -4308.00000 966597.85297 2.92384 -296.37441 299.29824 -9.87067 -1.17898 -0.02892 -11.07857 310.37682
-59.00000 287.00000 50000.00000 -4529.00000 966601.45064 6.52151 -291.55622 298.07773 -9.25994 -1.21311 -0.02940 -10.50245 308.58018
-59.00000 288.00000 50000.00000 -4397.00000 966603.84935 8.92022 -283.35216 292.27238 -8.60819 -1.24857 -0.02986 -9.88663 302.15901
-59.00000 289.00000 50000.00000 -3730.00000 966608.84187 13.91275 -269.85042 283.76317 -8.02938 -1.28482 -0.03032 -9.34452 293.10769
-59.00000 290.00000 50000.00000 -3911.00000 966613.80188 18.87275 -261.69705 280.56979 -7.46299 -1.32114 -0.03077 -8.81490 289.38469
-59.00000 291.00000 50000.00000 -3635.00000 966616.40202 21.47289 -253.38320 274.85609 -7.26629 -1.35680 -0.03124 -8.65433 283.51042
-59.00000 292.00000 50000.00000 -3655.00000 966618.11667 23.18754 -246.86159 270.04913 -7.65285 -1.39131 -0.03175 -9.07590 279.12504
-59.00000 293.00000 50000.00000 -3479.00000 966620.34536 25.41623 -237.47821 262.89444 -8.20494 -1.42449 -0.03232 -9.66175 272.55619
-59.00000 294.00000 50000.00000 -2584.00000 966623.40966 28.48053 -230.30823 258.78876 -8.52561 -1.45638 -0.03296 -10.01495 268.80372
-59.00000 295.00000 50000.00000 -3759.00000 966623.47069 28.54156 -245.18312 273.72469 -8.71182 -1.48686 -0.03368 -10.23236 283.95705
-59.00000 296.00000 50000.00000 -3852.00000 966621.66270 26.73358 -255.97621 282.70978 -8.91713 -1.51546 -0.03444 -10.46703 293.17681
-59.00000 297.00000 50000.00000 -4021.00000 966621.50584 26.57671 -261.23671 287.81343 -9.28164 -1.54130 -0.03519 -10.85813 298.67155
-59.00000 298.00000 50000.00000 -3779.00000 966623.80602 28.87689 -261.25445 290.13134 -9.96186 -1.56317 -0.03585 -11.56088 301.69222
-59.00000 299.00000 50000.00000 -3948.00000 966626.60477 31.67565 -261.81945 293.49510 -11.22803 -1.57982 -0.03634 -12.84418 306.33928
-59.00000 300.00000 50000.00000 -3828.00000 966623.46024 28.53111 -259.52826 288.05937 -13.60240 -1.59021 -0.03657 -15.22918 303.28856
-59.00000 301.00000 50000.00000 -3488.00000 966619.71897 24.78984 -254.76996 279.55980 -16.94980 -1.59376 -0.03651 -18.58007 298.13986
-59.00000 302.00000 50000.00000 -3687.00000 966622.44990 27.52077 -255.74383 283.26460 -20.24299 -1.59050 -0.03614 -21.86962 305.13422
-59.00000 303.00000 50000.00000 -3662.00000 966624.01613 29.08700 -257.23697 286.32397 -22.74436 -1.58098 -0.03551 -24.36085 310.68482
-59.00000 304.00000 50000.00000 -3768.00000 966623.38820 28.45907 -259.07771 287.53677 -23.97599 -1.56620 -0.03469 -25.57688 313.11366
-59.00000 305.00000 50000.00000 -3831.00000 966622.85854 27.92941 -259.56380 287.49321 -24.53286 -1.54729 -0.03377 -26.11393 313.60714
-59.00000 306.00000 50000.00000 -3671.00000 966620.23608 25.30695 -257.19868 282.50564 -25.22715 -1.52534 -0.03282 -26.78531 309.29095
-59.00000 307.00000 50000.00000 -3645.00000 966619.64978 24.72065 -254.05256 278.77321 -25.86131 -1.50126 -0.03188 -27.39445 306.16766
-59.00000 308.00000 50000.00000 -3438.00000 966620.58630 25.65718 -246.23090 271.88807 -26.41040 -1.47577 -0.03099 -27.91716 299.80523
-59.00000 309.00000 50000.00000 -2508.00000 966619.68068 24.75155 -238.18272 262.93427 -26.73023 -1.44942 -0.03016 -28.20982 291.14409
-59.00000 310.00000 50000.00000 -3775.00000 966619.52570 24.59657 -249.99619 274.59276 -26.30557 -1.42268 -0.02940 -27.75766 302.35041
-59.00000 311.00000 50000.00000 -3816.00000 966619.55274 24.62361 -255.27040 279.89401 -26.11474 -1.39594 -0.02871 -27.53939 307.43340
-59.00000 312.00000 50000.00000 -3929.00000 966619.60371 24.67458 -248.23255 272.90713 -26.92512 -1.36947 -0.02809 -28.32268 301.22981
-59.00000 313.00000 50000.00000 -2656.00000 966621.86785 26.93872 -229.36394 256.30266 -27.89943 -1.34347 -0.02752 -29.27043 285.57309
-59.00000 314.00000 50000.00000 -2887.00000 966624.28523 29.35610 -219.93976 249.29586 -28.47376 -1.31799 -0.02702 -29.81877 279.11463
-59.00000 315.00000 50000.00000 -1716.00000 966623.27272 28.34360 -206.93879 235.28239 -28.23285 -1.29297 -0.02656 -29.55238 264.83477
-59.00000 316.00000 50000.00000 -2079.00000 966618.11572 23.18659 -212.94551 236.13210 -27.18497 -1.26823 -0.02614 -28.47934 264.61144
-59.00000 317.00000 50000.00000 -3889.00000 966612.97493 18.04580 -234.25102 252.29682 -25.68265 -1.24356 -0.02576 -26.95197 279.24879
-59.00000 318.00000 50000.00000 -3714.00000 966610.56795 15.63882 -236.69576 252.33458 -23.81966 -1.21877 -0.02541 -25.06384 277.39842
-59.00000 319.00000 50000.00000 -3520.00000 966610.54250 15.61338 -224.17120 239.78458 -21.93014 -1.19376 -0.02509 -23.14900 262.93357
-59.00000 320.00000 50000.00000 -2278.00000 966614.63489 19.70576 -205.23105 224.93682 -21.25856 -1.16859 -0.02479 -22.45195 247.38877
-59.00000 321.00000 50000.00000 -3014.00000 966617.22960 22.30047 -205.49944 227.79991 -22.16073 -1.14343 -0.02451 -23.32867 251.12857
-59.00000 322.00000 50000.00000 -2926.00000 966613.78075 18.85162 -206.09381 224.94542 -23.13404 -1.11852 -0.02425 -24.27681 249.22224
-59.00000 323.00000 50000.00000 -2901.00000 966614.12375 19.19462 -199.86455 219.05917 -22.48130 -1.09416 -0.02400 -23.59946 242.65863
-59.00000 324.00000 50000.00000 -2032.00000 966618.90954 23.98041 -188.42690 212.40732 -19.39251 -1.07060 -0.02376 -20.48686 232.89418
-59.00000 325.00000 50000.00000 -2891.00000 966619.75168 24.82255 -193.22043 218.04298 -15.39344 -1.04801 -0.02353 -16.46498 234.50796
-59.00000 326.00000 50000.00000 -3179.00000 966620.31729 25.38816 -196.14735 221.53551 -12.42858 -1.02651 -0.02331 -13.47840 235.01392
-59.00000 327.00000 50000.00000 -2902.00000 966623.75179 28.82267 -192.62701 221.44967 -10.57282 -1.00614 -0.02310 -11.60206 233.05173
-59.00000 328.00000 50000.00000 -2956.00000 966627.28147 32.35234 -189.30059 221.65294 -9.77918 -0.98689 -0.02289 -10.78896 232.44189
-59.00000 329.00000 50000.00000 -3005.00000 966631.46100 36.53187 -179.33242 215.86429 -8.77057 -0.96871 -0.02269 -9.76196 225.62625
-59.00000 330.00000 50000.00000 -2489.00000 966635.84117 40.91204 -143.96568 184.87772 -6.68389 -0.95152 -0.02249 -7.65791 192.53563
-58.00000 270.00000 50000.00000 -4234.00000 966511.98878 -1.80011 -228.78475 226.98463 -4.21540 -0.86214 -0.02337 -5.10091 232.08554
-58.00000 271.00000 50000.00000 -4633.00000 966511.37052 -2.41838 -289.40457 286.98619 -4.97033 -0.87567 -0.02362 -5.86962 292.85581
-58.00000 272.00000 50000.00000 -5077.00000 966510.16019 -3.62871 -318.34567 314.71696 -5.62908 -0.88997 -0.02390 -6.54294 321.25990
-58.00000 273.00000 50000.00000 -5087.00000 966508.68496 -5.10393 -331.53233 326.42840 -6.19065 -0.90515 -0.02419 -7.11998 333.54838
-58.00000 274.00000 50000.00000 -5140.00000 966509.05789 -4.73101 -337.40504 332.67403 -6.66689 -0.92132 -0.02450 -7.61271 340.28674
-58.00000 275.00000 50000.00000 -5093.00000 966509.09108 -4.69781 -339.36350 334.66569 -7.25241 -0.93864 -0.02483 -8.21589 342.88158
-58.00000 276.00000 50000.00000 -4874.00000 966510.34600 -3.44289 -338.59092 335.14803 -7.72552 -0.95728 -0.02520 -8.70799 343.85602
-58.00000 277.00000 50000.00000 -5002.00000 966513.50142 -0.28748 -338.53477 338.24730 -7.92929 -0.97743 -0.02560 -8.93232 347.17962
-58.00000 278.00000 50000.00000 -4899.00000 966513.91471 0.12581 -336.02441 336.15023 -7.81665 -0.99933 -0.02604 -8.84202 344.99225
-58.00000 279.00000 50000.00000 -4902.00000 966511.57000 -2.21890 -332.22735 330.00845 -7.47484 -1.02326 -0.02653 -8.52462 338.53307
