# Synthetic point estimates of Moho depth (from CRUST1.0)
# Generated by sinthetic-crust1.ipynb on 12 February 2016 18:08:15 UTC
# Moho depth is given in meters.
# lat lon depth
-19.23000 -67.31000 57559.01970
-19.03000 -66.80000 61512.12559
-19.43000 -66.80000 62467.61377
-19.29000 -66.34000 63013.26629
-19.69000 -66.34000 64889.11712
-19.11000 -65.31000 55789.74373
-19.51000 -65.31000 54719.54357
-19.24000 -64.74000 52030.46260
-19.64000 -64.74000 49806.05053
-19.59000 -64.29000 46589.93322
-19.85000 -63.89000 44336.78048
-20.05000 -63.54000 42695.02326
-19.23000 -62.51000 35269.10595
-18.52000 -60.74000 34358.56631
-30.90000 -65.20000 35472.86139
-32.40000 -65.70000 38450.86932
-30.50000 -66.90000 44395.93397
-30.50000 -68.00000 55467.39407
-34.91000 -57.93000 32440.88857
-0.20000 -78.50000 55089.51371
-31.00000 -71.20000 41240.16827
-30.30000 -69.80000 59646.35863
-30.20000 -68.70000 59465.17611
-30.30000 -67.75000 53512.24934
-30.40000 -66.50000 39496.35987
-30.90000 -65.20000 35472.86139
-35.50000 -72.30000 36879.53085
-35.80000 -70.50000 53463.66688
-35.80000 -69.60000 45555.91922
-36.00000 -69.00000 37880.07980
-36.20000 -68.40000 33026.08637
-29.15000 -64.07000 37061.58447
-29.46000 -64.05000 35184.51954
-29.75000 -64.02000 35678.58058
-30.78000 -64.41000 37302.60194
-31.02000 -64.64000 36527.40413
-31.14000 -64.96000 35741.62751
-31.27000 -65.22000 35719.11832
-31.59000 -64.55000 36982.14475
-31.91000 -64.66000 36953.07924
-32.15000 -65.00000 36995.52873
-32.41000 -65.71000 38418.65410
-32.83000 -66.08000 36571.22714
-30.90000 -65.20000 35472.86139
-28.80000 -66.25000 37065.41681
-29.93000 -67.12000 46044.32395
-30.20000 -67.30000 49070.30412
-30.38000 -66.54000 39880.40957
-30.80000 -66.64000 42975.77302
-31.19000 -66.77000 47858.09478
-31.51000 -66.24000 43502.42567
-32.28000 -67.19000 45210.57420
-30.16000 -67.84000 53712.18766
-30.28000 -67.74000 53357.76831
-30.68000 -67.52000 52865.50272
-31.06000 -67.30000 51445.61317
-31.57000 -67.88000 51901.42658
-32.21000 -69.38000 57745.78568
-33.59000 -69.51000 44524.01565
-33.32000 -70.29000 42804.97020
-33.14000 -70.66000 40238.20906
-31.03000 -71.24000 40395.59432
-30.00000 -71.00000 43145.25467
-30.00000 -70.50000 49999.58814
-30.00000 -70.00000 58400.02895
-30.00000 -69.50000 62998.03134
-30.00000 -69.00000 61329.81784
-30.00000 -68.50000 58309.62271
-30.00000 -68.00000 54448.65632
-30.50000 -70.50000 51690.00000
-30.50000 -70.00000 57183.60234
-30.50000 -69.50000 60370.00000
-30.50000 -69.00000 59802.16356
-30.50000 -68.50000 57660.00000
-31.00000 -69.50000 58625.58756
-31.00000 -69.00000 57810.81066
-31.00000 -68.50000 55342.78855
-31.00000 -68.00000 54099.39178
-31.50000 -70.50000 52850.00000
-31.50000 -70.00000 57221.16335
-31.50000 -69.50000 58020.00000
-31.50000 -69.00000 56176.34282
-31.50000 -68.50000 53570.00000
-32.00000 -70.50000 49912.46601
